order_item_id,order_id,product_id,quantity,unit_price
1,1,32,2,3812.42
2,1,2,2,2222.14
3,1,8,1,3423.54
4,2,6,3,9089.98
5,3,9,2,12170.04
6,3,43,3,5201.61
7,4,14,3,12135.85
8,4,35,1,3406.91
9,4,49,3,5702.62
10,4,47,2,13077.2
11,5,29,1,13164.06
12,5,34,1,13482.67
13,5,8,1,3423.54
14,6,38,1,6419.08
15,6,15,1,2003.67
16,7,5,2,1541.37
17,7,3,1,11148.92
18,8,14,3,12135.85
19,8,35,3,3406.91
20,8,9,2,12170.04
21,8,47,1,13077.2
22,9,7,2,10782.89
23,9,43,2,5201.61
24,10,44,3,2498.64
25,11,47,1,13077.2
26,11,22,1,4114.62
27,11,7,3,10782.89
28,11,16,2,8347.8
29,12,30,2,9883.26
30,12,16,3,8347.8
31,12,5,1,1541.37
32,13,6,1,9089.98
33,14,14,2,12135.85
34,14,26,1,10316.52
35,14,4,2,8918.81
36,14,11,2,2458.87
37,15,10,1,10517.37
38,15,13,3,12735.29
39,15,19,3,12851.47
40,15,14,3,12135.85
41,16,4,3,8918.81
42,17,4,1,8918.81
43,17,33,1,4051.71
44,18,26,3,10316.52
45,18,8,1,3423.54
46,19,27,3,12353.77
47,20,17,3,8723.68
48,20,14,2,12135.85
49,20,43,1,5201.61
50,21,30,1,9883.26
51,21,21,1,5647.19
52,21,49,2,5702.62
53,22,5,3,1541.37
54,23,23,1,9579.43
55,23,5,2,1541.37
56,24,40,1,3883.5
57,24,42,3,13289.11
58,24,34,3,13482.67
59,25,9,2,12170.04
60,26,18,3,9969.76
61,26,19,1,12851.47
62,27,33,1,4051.71
63,27,32,1,3812.42
64,27,17,3,8723.68
65,28,1,2,11162.02
66,29,11,3,2458.87
67,29,48,3,7688.79
68,29,29,2,13164.06
69,30,45,1,13156.42
70,31,38,2,6419.08
71,31,36,1,7478.71
72,31,10,1,10517.37
73,32,23,1,9579.43
74,33,23,3,9579.43
75,34,16,1,8347.8
76,34,11,2,2458.87
77,35,27,1,12353.77
78,35,43,2,5201.61
79,35,48,1,7688.79
80,36,31,1,6963.95
81,37,23,3,9579.43
82,37,20,1,4277.91
83,37,15,2,2003.67
84,37,2,2,2222.14
85,38,23,2,9579.43
86,38,42,3,13289.11
87,38,33,3,4051.71
88,39,17,1,8723.68
89,40,3,2,11148.92
90,40,7,2,10782.89
91,40,39,3,5817.05
92,41,25,3,4158.73
93,42,1,3,11162.02
94,42,34,3,13482.67
95,42,35,3,3406.91
96,42,44,3,2498.64
97,43,43,2,5201.61
98,44,47,2,13077.2
99,45,21,3,5647.19
100,45,26,1,10316.52
101,45,45,1,13156.42
102,45,19,2,12851.47
103,46,40,2,3883.5
104,46,37,2,2419.69
105,47,19,3,12851.47
106,47,14,3,12135.85
107,47,28,3,4125.95
108,48,44,3,2498.64
109,48,14,1,12135.85
110,48,33,3,4051.71
111,48,31,1,6963.95
112,49,6,3,9089.98
113,49,49,2,5702.62
114,49,16,1,8347.8
115,50,16,2,8347.8
116,51,30,2,9883.26
117,52,32,3,3812.42
118,52,26,3,10316.52
119,52,16,1,8347.8
120,52,10,1,10517.37
121,53,45,2,13156.42
122,53,34,1,13482.67
123,54,30,1,9883.26
124,55,49,3,5702.62
125,55,29,3,13164.06
126,55,40,2,3883.5
127,56,48,2,7688.79
128,56,31,2,6963.95
129,57,50,3,14309.47
130,57,34,1,13482.67
131,57,32,2,3812.42
132,58,16,2,8347.8
133,58,18,3,9969.76
134,58,22,1,4114.62
135,59,45,1,13156.42
136,59,10,2,10517.37
137,59,46,2,11465.14
138,59,14,2,12135.85
139,60,14,2,12135.85
140,61,49,3,5702.62
141,62,20,2,4277.91
142,62,49,3,5702.62
143,62,25,3,4158.73
144,63,32,2,3812.42
145,63,15,2,2003.67
146,64,43,3,5201.61
147,64,44,1,2498.64
148,64,26,2,10316.52
149,65,26,3,10316.52
150,66,42,2,13289.11
