order_id,customer_id,order_date,status
1,136,2026-03-14,cancelled
2,15,2026-04-01,delivered
3,125,2025-07-23,shipped
4,43,2025-11-25,delivered
5,103,2026-03-26,returned
6,87,2025-09-07,delivered
7,182,2025-09-04,delivered
8,132,2025-10-21,delivered
9,122,2025-10-19,shipped
10,109,2026-04-15,delivered
11,166,2025-08-18,delivered
12,36,2025-09-03,delivered
13,13,2025-11-19,delivered
14,43,2026-01-08,delivered
15,117,2026-01-03,delivered
16,16,2026-02-28,shipped
17,123,2025-08-11,delivered
18,18,2025-09-06,delivered
19,149,2025-11-03,delivered
20,150,2025-09-28,delivered
21,68,2025-11-23,delivered
22,160,2025-08-31,returned
23,55,2026-01-02,delivered
24,73,2025-09-26,delivered
25,77,2026-07-12,cancelled
26,30,2025-11-08,cancelled
27,184,2025-09-25,delivered
28,109,2025-11-18,shipped
29,198,2026-02-26,delivered
30,144,2026-02-26,delivered
31,140,2025-12-29,delivered
32,79,2025-12-22,delivered
33,175,2025-10-10,delivered
34,105,2026-07-04,returned
35,7,2026-03-26,delivered
36,180,2026-01-15,delivered
37,52,2025-11-20,shipped
38,72,2026-06-14,cancelled
39,85,2026-04-22,cancelled
40,149,2025-12-17,returned
41,81,2026-05-05,delivered
42,49,2025-09-28,delivered
43,51,2025-08-13,delivered
44,160,2026-03-05,delivered
45,130,2025-11-27,delivered
46,171,2026-04-11,cancelled
47,141,2025-09-25,shipped
48,83,2026-03-02,delivered
49,73,2026-06-18,delivered
50,51,2025-11-18,delivered
51,157,2026-03-09,shipped
52,162,2025-08-30,delivered
53,200,2026-05-18,delivered
54,143,2026-03-30,delivered
55,119,2026-07-13,delivered
56,141,2025-11-28,delivered
57,193,2026-05-08,delivered
58,113,2025-10-19,delivered
59,36,2025-10-25,delivered
60,139,2026-04-19,delivered
61,100,2025-08-22,cancelled
62,98,2025-10-11,delivered
63,189,2025-11-13,delivered
64,125,2025-11-25,delivered
65,33,2026-03-04,returned
66,145,2026-01-09,delivered
67,35,2025-09-11,cancelled
68,55,2026-02-01,delivered
69,121,2026-03-27,delivered
70,167,2026-06-20,delivered
71,64,2026-02-06,delivered
72,62,2025-08-19,delivered
73,120,2025-10-13,delivered
74,80,2025-09-23,delivered
75,174,2025-10-29,cancelled
76,27,2025-10-21,delivered
77,137,2026-05-18,delivered
78,126,2025-09-17,delivered
79,188,2025-10-20,delivered
80,188,2026-05-01,delivered
81,146,2026-07-13,delivered
82,67,2026-05-11,delivered
83,185,2026-04-22,delivered
84,126,2025-09-24,delivered
85,57,2025-10-12,delivered
86,122,2026-06-08,delivered
87,117,2025-07-23,delivered
88,191,2026-06-18,delivered
89,71,2026-02-20,shipped
90,78,2026-04-27,delivered
91,75,2026-03-21,delivered
92,4,2026-02-19,delivered
93,17,2026-02-17,delivered
94,176,2026-05-01,delivered
95,31,2025-08-31,delivered
96,77,2025-08-08,cancelled
97,161,2026-05-11,delivered
98,45,2026-04-25,delivered
99,153,2025-08-01,delivered
100,181,2025-10-18,delivered
101,109,2026-04-11,delivered
102,19,2025-09-25,delivered
103,120,2025-11-12,delivered
104,111,2026-06-20,shipped
