product_id,product_name,category,price
1,Tenetur Pro,Electronics,11162.02
2,Voluptate Max,Clothing,2222.14
3,Autem Pro,Beauty,11148.92
4,Odio ,Electronics,8918.81
5,Expedita Pro,Electronics,1541.37
6,Quisquam Max,Sports,9089.98
7,Possimus ,Clothing,10782.89
8,Natus ,Books,3423.54
9,Voluptas ,Home & Kitchen,12170.04
10,Voluptates Pro,Clothing,10517.37
11,Soluta Lite,Home & Kitchen,2458.87
12,Dolores Lite,Electronics,1527.28
13,Occaecati Pro,Home & Kitchen,12735.29
14,Corrupti ,Home & Kitchen,12135.85
15,Cum Plus,Sports,2003.67
16,Sed Plus,Electronics,8347.8
17,Commodi ,Home & Kitchen,8723.68
18,Necessitatibus Pro,Electronics,9969.76
19,Tenetur Lite,Electronics,12851.47
20,Autem Pro,Books,4277.91
21,Sunt Lite,Clothing,5647.19
22,Blanditiis Max,Beauty,4114.62
23,Modi Pro,Sports,9579.43
24,Quasi ,Beauty,3785.44
25,Eligendi Plus,Books,4158.73
26,Suscipit ,Clothing,10316.52
27,Sequi Pro,Clothing,12353.77
28,Facere Lite,Books,4125.95
29,Ea Max,Sports,13164.06
30,Nisi Lite,Clothing,9883.26
31,Quo Plus,Beauty,6963.95
32,Quibusdam Lite,Clothing,3812.42
33,Modi ,Sports,4051.71
34,Earum ,Books,13482.67
35,Porro Plus,Home & Kitchen,3406.91
36,Autem Max,Sports,7478.71
37,Unde Pro,Electronics,2419.69
38,Quidem Max,Beauty,6419.08
39,Adipisci Pro,Books,5817.05
40,Mollitia Plus,Sports,3883.5
41,Perspiciatis ,Electronics,10252.21
42,Provident Pro,Beauty,13289.11
43,Fugiat Lite,Beauty,5201.61
44,Aliquam Lite,Books,2498.64
45,Iste Pro,Beauty,13156.42
46,Perferendis Lite,Sports,11465.14
47,Saepe ,Electronics,13077.2
48,Laboriosam Lite,Beauty,7688.79
49,Autem Max,Clothing,5702.62
50,Amet Max,Sports,14309.47
